time,ax,ay,az,aT
2.3420,0.3030,-0.4006,-3.0707,3.112
2.3480,0.3957,-0.5766,-2.7985,2.885
2.3510,0.4336,-0.7647,-2.5721,2.718
2.3560,0.4570,-0.9338,-2.4080,2.623
2.3610,0.4629,-1.1121,-2.2491,2.551
2.3670,0.4126,-1.2350,-2.0997,2.471
2.3700,0.3081,-1.2953,-2.0597,2.453
2.3750,0.1635,-1.3190,-2.0899,2.477
2.3850,-0.0283,-1.2680,-2.2046,2.543
2.3870,-0.2528,-1.1540,-2.3679,2.646
2.3900,-0.4283,-1.0346,-2.5636,2.798
2.3940,-0.6140,-0.9360,-2.7425,2.962
2.4420,-0.7471,-0.8677,-2.9628,3.176
2.4430,-0.8678,-0.8370,-3.1536,3.376
2.4440,-0.9129,-0.8964,-3.4096,3.642
2.4440,-0.9421,-1.0292,-3.6622,3.919
2.4440,-0.9591,-1.2425,-3.8626,4.169
2.4450,-0.9807,-1.4886,-3.9544,4.338
2.4450,-0.9803,-1.8012,-3.9191,4.423
2.4460,-0.9982,-2.1584,-3.8363,4.514
2.4460,-1.0273,-2.4936,-3.6798,4.562
2.4470,-1.1081,-2.7802,-3.5070,4.611
2.4470,-1.2378,-3.0613,-3.3564,4.708
2.4510,-1.3658,-3.2818,-3.2281,4.802
2.4560,-1.5155,-3.4868,-3.0482,4.873
2.4610,-1.5694,-3.6860,-2.9848,4.996
2.4650,-1.5607,-3.8817,-3.0237,5.162
2.4700,-1.5877,-4.0146,-3.0702,5.298
2.4750,-1.6550,-4.1255,-3.1417,5.443
2.4820,-1.7575,-4.1861,-3.2703,5.595
2.4850,-1.8426,-4.1273,-3.3876,5.649
2.4890,-1.9674,-4.0261,-3.5376,5.709
2.4940,-2.1031,-3.8300,-3.6708,5.707
2.5000,-2.1538,-3.6135,-3.8833,5.725
2.5040,-2.1098,-3.3957,-4.1417,5.756
2.5080,-2.0052,-3.1696,-4.5746,5.916
2.5370,-1.8163,-2.9498,-5.2128,6.259
2.5370,-1.5456,-2.6958,-6.1180,6.862
2.5380,-1.2797,-2.3908,-7.2861,7.774
2.5380,-0.9418,-2.0561,-8.6900,8.980
2.5380,-0.5419,-1.7889,-10.3577,10.525
2.5390,-0.0159,-1.7050,-12.2417,12.360
2.5420,0.5982,-1.9480,-13.8953,14.044
